@relation ant.1.5
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
18,4,0,12,82,83,1,12,11,0.9601518,1238,1,1,0.8210526,0.18181819,2,2,66.05556,8,1.8333334,1
4,2,0,3,28,0,1,3,4,0,174,0,1,0.8235294,0.45,0,0,42.25,5,1.75,0
3,2,0,9,26,3,1,8,2,2,147,0,0,0.92,1,1,1,48,10,3.6666667,0
9,6,0,9,34,28,0,9,6,0.8125,166,1,0,0.9506173,0.4,4,9,17.222221,2,1,1
3,1,0,5,19,1,0,5,2,0.5,89,1,0,0,0.5,0,0,28.333334,1,0.33333334,0
10,3,0,7,61,37,0,7,3,0.9,758,0.6,0,0.8043478,0.2857143,0,0,73.8,7,2.1,0
3,1,0,7,14,3,1,6,1,2,88,0,0,0,0.44444445,0,0,28.333334,1,0.6666667,0
4,1,0,4,5,0,3,1,4,0.33333334,24,1,0,0,0.875,0,0,4.75,1,0.75,0
15,3,0,16,77,69,0,16,10,0.82653064,504,1,0,0.7254902,0.23333333,1,1,32.133335,6,1.4,0
4,1,0,2,6,4,2,0,4,0.33333334,19,1,0,0,0.625,0,0,3.5,1,0.75,0
3,2,0,8,20,3,1,7,2,1,151,0,0,0.92,0.5,0,0,48.333332,1,0.6666667,0
4,2,0,4,16,6,1,3,2,1.3333334,94,1,0,0.72727275,0.5,1,1,21.75,1,0.75,0
16,1,3,13,38,80,6,7,12,0.8761905,334,0.85714287,0,0,0.2857143,0,0,19.4375,8,1.6875,0
3,2,0,1,10,0,1,1,3,0.25,77,1,2,0.9591837,0.5,1,1,22.666666,2,1,0
2,2,0,2,3,1,1,1,2,2,18,0,0,0.8888889,1,1,1,7,1,0.5,0
3,2,0,2,4,1,1,1,2,0.5,33,1,0,0.8888889,1,1,1,9.666667,1,0.33333334,0
11,5,0,11,38,1,4,7,11,0.84,391,0.5,0,0.7916667,0.2159091,1,4,33.636364,8,2.7272727,0
29,1,0,5,66,348,2,3,12,0.8107143,567,0.9,2,0,0.31724137,0,0,18.206896,11,1.3793104,0
3,2,0,2,8,1,1,1,3,0.5,81,1,0,0.8,1,1,1,25.666666,1,0.6666667,0
29,1,0,28,120,396,25,6,25,0.9285714,1348,0.8,0,0,0.27857143,0,0,45.310345,29,2.6206896,1
2,4,0,5,14,1,0,5,1,2,66,0,0,0.98039216,1,1,2,32,4,2,0
8,2,0,4,25,14,1,3,4,0.5714286,163,1,1,0.41666666,0.3,1,1,18.875,2,1,0
3,1,0,3,19,0,0,3,2,0.75,104,0.5,0,0,0.6666667,0,0,33,1,0.6666667,0
3,3,0,6,21,0,1,6,3,0,146,1,0,0.94871795,0.6666667,0,0,47.333332,1,0.6666667,0
4,3,0,6,22,0,1,6,4,0.16666667,142,1,0,0.925,0.625,0,0,34,2,1,0
12,1,0,3,22,44,1,2,5,0.8051948,156,1,1,0,0.26190478,0,0,11.416667,4,1.25,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
3,3,0,9,29,1,1,8,3,0.5,189,1,1,0.8947368,0.6,0,0,61.666668,1,0.6666667,0
2,4,0,4,4,0,1,3,1,0,16,1,1,0.9375,0.6666667,1,1,6.5,1,0.5,0
6,3,5,15,8,3,12,3,6,0.4,39,1,0,0.85714287,0.5,0,0,5.3333335,3,1.3333334,0
16,1,0,5,42,0,3,2,15,0.4,381,1,0,0,0.421875,1,1,22.625,9,1.625,0
11,1,0,4,34,0,3,1,1,0.78571427,312,1,0,0,0.85,0,0,26.09091,3,1.7272727,0
4,3,0,3,17,4,0,3,3,0.6666667,152,1,0,0.925,0.75,1,1,36.75,1,0.75,0
3,1,0,11,24,1,7,4,3,0,264,1,2,0,0.6666667,0,0,86.333336,13,5,0
5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,0
18,4,0,13,90,87,1,13,14,0.8492647,778,1,0,0.78205127,0.18888889,4,4,41.333332,1,0.9444444,1
