@relation camel.1.4
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
3,3,3,6,12,3,3,3,2,2,47,0,0,0.9,0.6666667,0,0,14.666667,1,0.6666667,0
15,3,0,6,32,61,1,5,14,0.5952381,168,1,0,0.9259259,0.36666667,1,2,10,2,0.93333334,1
2,5,1,9,9,1,2,8,1,2,26,0,0,0.9714286,0.6666667,1,1,12,1,0.5,0
7,3,0,8,23,19,0,8,7,0.5,118,1,0,0.8947368,0.34285715,0,0,15.714286,4,1.5714285,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
24,3,0,18,56,210,5,15,20,0.71304345,280,1,2,0.872093,0.24404761,1,2,10.458333,4,1.0416666,3
4,0,2,5,24,6,2,3,1,2,93,0,0,0,0.4,0,0,22.25,4,1.5,0
3,3,0,8,12,3,0,8,2,2,39,0,0,0.9444444,0.6666667,1,1,12,1,0.6666667,0
10,2,17,27,21,17,18,9,7,0.7777778,90,1,4,0.59090906,0.28,1,1,7.6,2,1.1,1
4,3,0,1,5,4,0,1,3,0.6666667,16,1,1,0.9622642,0.6666667,1,1,2.75,1,0.5,0
9,4,0,14,40,22,3,12,8,0.7083333,244,1,1,0.9503106,0.25925925,1,2,25.777779,11,2.2222223,0
2,1,0,9,20,0,1,9,1,0,100,0,4,0,0.5833333,0,0,46.5,5,2.5,0
2,5,2,6,4,1,4,2,2,2,13,0,0,1,0.875,0,0,5.5,0,0,0
8,1,0,4,20,26,0,4,7,0.71428573,83,1,1,0,0.25,0,0,9.25,2,1,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,6,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,0
8,3,0,12,28,6,3,10,5,0.5714286,111,1,1,0.8076923,0.33333334,0,0,12.625,4,1.25,2
4,3,0,3,22,0,1,3,2,0.33333334,86,1,0,0.9189189,0.4375,2,3,20.25,3,1.25,0
6,2,0,2,11,9,1,1,6,0.2,45,1,0,0.5,0.41666666,0,0,6.3333335,2,0.8333333,0
3,1,0,2,15,3,2,0,2,2,91,0,0,0,0.44444445,0,0,29.333334,7,3.3333333,1
2,1,0,6,12,0,1,6,1,0,59,0,2,0,0.6,0,0,26.5,3,1.5,0
5,3,0,6,9,8,1,6,4,0.75,36,1,0,0.8947368,0.4,1,1,6,1,0.8,0
2,2,0,5,5,0,1,5,1,0,22,0,1,0.8333333,0.625,0,0,9.5,2,1,0
48,2,1,27,122,972,11,25,37,0.91607565,855,1,1,0.22033899,0.09878419,1,1,16.4375,4,1.3958334,0
3,1,0,5,12,0,1,4,3,0.25,54,1,1,0,0.46666667,0,0,16.333334,2,1,0
3,1,0,4,10,0,1,3,2,0,44,0,0,0,0.5555556,0,0,13.333333,3,1.3333334,0
41,1,0,6,54,516,5,1,41,0.875,507,0,0,0,0.297561,0,0,10.95122,1,0.9268293,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.95652175,0.6666667,1,2,3,1,0.33333334,0
2,3,0,4,4,1,0,4,1,2,11,0,0,0.9714286,0.6666667,1,1,4.5,1,0.5,0
3,1,0,3,6,3,0,3,3,2,13,0,0,0,0.33333334,0,0,3.3333333,1,1,0
11,3,0,4,32,0,0,4,10,0.5,114,1,0,0.5714286,0.36666667,0,0,9.181818,1,0.8181818,0
18,2,0,7,35,0,3,4,15,0.6386555,315,1,0,0.52380955,0.2638889,1,1,16.11111,3,0.7777778,2
4,1,0,7,4,6,6,2,4,2,4,0,0,0,0.5833333,0,0,0,1,1,0
9,1,0,6,20,36,0,6,8,2,49,0,0,0,0.14285715,0,0,4.4444447,1,0.8888889,0
3,3,2,5,9,3,3,3,2,2,28,0,0,0.9444444,0.7777778,1,1,8.333333,1,0.6666667,0
7,3,0,10,14,1,6,5,5,0.33333334,45,1,1,0.78571427,0.42857143,1,1,5.285714,1,0.85714287,0
6,3,0,8,37,3,1,8,4,0.6666667,150,1,1,0.8148148,0.30555555,1,1,23.5,1,0.8333333,0
6,1,0,4,10,1,2,2,6,0.6,50,1,1,0,0.5,0,0,7,2,1.1666666,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
2,2,0,4,15,0,1,4,1,0,57,0,1,0.9836066,0.625,0,0,26,1,0.5,0
8,3,0,5,12,16,1,5,8,0.8095238,66,1,1,0.955414,0.34375,1,2,6.875,4,1.25,0
2,5,0,3,7,0,1,2,2,0,21,1,0,0.95,0.6666667,0,0,9,1,0.5,0
8,0,0,8,23,24,2,8,2,0.85714287,98,1,1,0,0.21875,0,0,11.125,1,0.875,0
2,2,0,6,9,0,1,6,1,0.5,33,0,2,0.9,0.6,0,0,14.5,1,0.5,0
4,1,0,3,23,6,0,3,2,2,93,0,0,0.8,1,1,2,22.25,1,0.75,0
4,5,0,1,13,0,0,1,3,0.8333333,47,1,0,0.8947368,0.5,0,0,10.25,2,0.75,1
10,3,0,15,40,39,4,12,5,0.7777778,177,1,0,0.7419355,0.27160493,0,0,16.6,5,1.5,2
22,1,0,21,40,225,11,20,22,0.93650794,114,1,3,0,0.18181819,0,0,4.0454545,1,0.95454544,0
8,4,0,15,19,28,4,15,7,2,73,0,0,0.8636364,0.3125,0,0,8.125,1,0.75,0
15,1,1,7,25,75,1,6,12,0.8035714,139,1,1,0,0.2761905,0,0,8,2,1,0
2,1,0,5,2,1,4,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
17,1,0,8,32,82,3,7,13,0.84375,162,1,1,0,0.18300654,0,0,8.176471,3,1.1764706,5
6,1,0,7,7,15,2,5,6,2,14,0,0,0,0.33333334,0,0,1.3333334,1,0.8333333,0
7,3,0,10,22,0,2,10,2,0.73333335,88,1,3,0.8148148,0.3,1,1,10.857142,1,0.71428573,0
11,1,0,4,20,43,1,3,10,0.1,124,1,1,0,0.36363637,0,0,10.181818,3,1.2727273,0
4,2,0,5,8,4,1,5,2,0.6666667,27,0,0,0.9433962,0.5625,1,2,5.5,1,0.75,0
2,1,2,3,3,1,3,0,1,2,5,0,0,0,0.6666667,0,0,1.5,1,0.5,0
6,1,6,11,14,15,7,4,5,2,52,0,0,0,0.5416667,0,0,7.6666665,2,1,0
