@relation ivy.1.1
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
22,4,0,12,64,149,0,12,18,0.8630952,464,1,0,0.7,0.34545454,2,3,19.727272,1,0.95454544,5
13,4,0,3,33,68,0,3,12,0.8333333,184,1,0,0.8032787,0.4871795,0,0,12.769231,3,1.0769231,0
16,4,0,8,43,86,0,8,16,0.85714287,226,1,0,0.765625,0.359375,2,4,12.6875,1,0.9375,3
2,2,0,3,7,0,1,3,1,0,34,0,1,0.9444444,0.6,1,1,15,1,0.5,0
3,1,0,10,4,0,10,1,3,0.5,20,1,1,0,0.5555556,0,0,5,1,0.6666667,0
12,6,0,5,24,32,0,5,10,0.8181818,140,0.5,0,0.8804348,0.25,1,1,10.333333,5,1.5,0
6,1,0,12,32,15,8,4,6,1.2,152,1,0,0,0.30952382,0,0,24.166666,1,0.8333333,3
16,1,0,10,46,116,8,2,15,1.0074074,431,0.22222222,0,0,0.21904762,0,0,25.375,8,1.75,2
5,2,0,6,63,0,1,6,5,0.5416667,435,1,2,0.8095238,0.4,1,1,84.8,1,0.8,4
5,1,0,1,10,6,1,1,5,0.25,65,1,1,0,0.4,1,1,11.6,4,1.4,0
5,1,0,9,8,0,8,2,5,0.5,30,1,1,0,0.46666667,0,0,4.6,1,0.8,0
8,2,0,8,39,24,2,7,5,0.85714287,193,1,2,0.6956522,0.375,0,0,22.875,1,0.875,1
2,1,0,10,2,1,10,1,2,2,2,0,0,0,0.6666667,0,0,0,1,1,0
5,1,0,4,16,0,2,2,5,0.5833333,79,0.33333334,0,0,0.46666667,0,0,14.2,2,1,0
4,1,0,14,4,6,14,0,4,2,4,0,0,0,1,0,0,0,1,1,1
18,6,0,8,49,77,1,8,14,0.7941176,340,0.6666667,0,0.82653064,0.24074075,2,2,17.555555,9,1.7777778,0
4,1,0,10,4,6,9,1,4,2,4,0,0,0,0.55,0,0,0,1,1,1
11,1,0,7,26,29,4,3,11,0.3,119,1,2,0,0.27272728,1,1,9.636364,4,1.1818181,0
2,1,0,1,8,1,1,0,1,2,59,0,0,0,0.75,0,0,28.5,7,3.5,0
7,1,0,5,13,0,1,5,6,0.5,41,0,2,0,0.42857143,0,0,4.571429,1,0.85714287,0
10,1,0,2,12,25,1,1,10,0.8055556,53,1,0,0,0.7,0,0,3.9,1,0.9,0
6,1,0,13,6,15,11,3,6,2,6,0,0,0,1,0,0,0,1,1,1
38,2,0,37,153,569,1,37,21,0.8952703,1515,0.875,1,0.30769232,0.122332856,1,1,38.657894,4,1.5,2
4,1,0,5,18,4,3,2,2,0.8333333,109,0.5,0,0,0.41666666,0,0,24.75,1,0.5,2
12,2,0,12,55,0,1,12,12,0.4090909,320,1,0,0.5925926,0.21296297,1,1,25.5,5,1.5833334,6
5,1,0,6,11,0,4,2,5,0.375,41,1,1,0,0.46666667,0,0,6.8,1,0.8,0
7,1,0,5,8,15,5,0,6,0.5,51,1,0,0,0.53571427,0,0,5.857143,1,0.5714286,0
32,2,1,31,147,434,2,30,19,0.9233871,1429,0.875,1,0.3478261,0.121442124,1,1,43.40625,5,1.59375,12
2,5,2,5,5,1,2,3,2,2,12,0,0,0.9876543,1,1,1,5,1,0.5,0
4,2,0,4,14,2,2,3,2,0.6666667,89,0.5,0,0.71428573,0.44444445,0,0,20.75,7,2,1
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11,2,0,7,31,45,2,6,6,0.5,166,1,1,0.64,0.36363637,0,0,13.909091,2,0.90909094,1
4,1,0,10,44,6,1,9,3,2,432,0,0,0,0.35714287,0,0,107,11,3.5,2
9,2,0,8,18,6,4,4,9,0.7708333,114,1,2,0.27272728,0.44444445,1,4,11,2,1,0
11,1,0,42,27,31,41,1,11,0.3,164,1,1,0,0.3409091,1,1,13.727273,6,2,3
3,1,0,1,4,1,1,0,3,0.5,14,0,0,0,0.6666667,0,0,3.3333333,1,0.6666667,0
5,1,0,6,33,10,2,4,5,2,229,0,0,0,0.48,0,0,44.8,7,2,2
4,1,0,12,38,0,1,12,2,0,307,0,1,0,0.55,0,0,75.5,5,1.75,0
5,1,0,3,8,4,2,1,5,0.5,34,1,0,0,0.6,0,0,5.6,2,1,1
