@relation jEdit.3.2.1
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
2,5,0,1,4,1,1,1,1,1,36,1,1,0.99861497,0.5833333,0,0,16.5,1,0.5,0
6,1,0,1,21,0,1,1,5,0.24,389,0.2,1,0,0.43333334,0,0,63,5,2.6666667,0
3,2,0,11,18,3,1,10,1,1,273,0,0,0.9,0.53333336,1,1,89.666664,1,0.6666667,0
7,2,0,6,15,9,2,4,7,0.7222222,64,1,1,0.45454547,0.35714287,1,1,7.714286,1,0.85714287,0
7,1,0,36,7,21,36,0,7,2,7,0,0,0,0.52380955,0,0,0,1,1,0
19,1,35,50,30,147,46,7,19,0.8888889,240,0.5,4,0,0.23308271,0,0,11.315789,6,1.6315789,0
24,1,0,29,89,228,11,24,16,0.9006211,534,1,0,0,0.1552795,0,0,20.958334,6,1.875,6
3,1,0,2,6,1,1,2,1,0.5,18,1,1,0,0.6666667,0,0,4.6666665,1,0.6666667,0
55,6,0,109,200,1197,99,30,40,0.8923611,1437,0.875,8,0.9227468,0.0784689,1,1,24.836363,13,2.509091,5
2,2,0,12,17,1,1,11,1,2,63,0,0,0.94736844,0.625,1,1,30.5,1,0.5,0
1,8,0,9,22,0,1,9,1,2,111,0,0,1,1,0,0,110,0,0,0
10,2,0,8,29,3,4,5,8,0.33333334,189,0,0,0.6666667,0.425,1,2,17.8,4,1.9,0
5,1,0,11,26,0,4,8,0,0.5,155,0,0,0,0.46666667,0,0,29.4,5,1.8,2
1,1,0,1,2,0,1,0,0,2,6,0,0,0,1,0,0,3,0,0,0
3,1,0,3,5,1,1,3,1,0.75,22,1,2,0,0.6666667,0,0,5.6666665,1,0.6666667,0
2,1,0,1,4,0,1,1,1,0,13,1,1,0,0.6666667,0,0,5,1,0.5,0
3,3,0,1,6,0,1,1,2,0,19,1,1,0.6666667,0.6666667,0,0,5,1,0.6666667,0
99,1,0,162,325,4043,137,48,67,0.91510206,4367,1,7,0,0.059417706,0,0,42.858585,56,4.070707,23
5,6,0,6,51,6,2,5,3,0.75,260,1,1,0.993994,1,2,4,50,3,1.4,1
15,1,0,26,75,73,9,19,12,0.78571427,736,1,3,0,0.24761905,0,0,47.666668,13,4.4,4
54,5,0,41,175,1183,21,27,25,0.9303338,1425,0.84615386,5,0.92624116,0.12289562,3,12,24.907408,11,2.1296296,18
23,1,0,39,64,159,33,13,16,0.85858583,300,1,3,0,0.103896104,0,0,11.652174,9,1.4782609,2
2,1,0,1,5,1,0,1,2,2,11,0,0,0,0.75,0,0,4.5,1,0.5,0
2,1,0,1,7,0,1,1,1,0,23,1,1,0,0.6666667,0,0,10,2,1,0
