@relation jEdit.4.0
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
5,7,0,4,50,2,1,3,4,0.6111111,533,1,0,0.99391174,0.4,0,0,103.8,7,3,0
2,6,0,2,15,0,1,2,1,0.33333334,94,0.33333334,1,0.99861497,0.5833333,1,1,44.5,3,1.5,0
2,1,0,4,9,1,1,4,1,2,31,0,0,0,1,0,0,14.5,2,1,0
3,2,0,4,9,1,1,3,0,0.5,106,1,0,0.7777778,0.44444445,1,2,34,11,4,0
11,7,0,10,62,29,2,9,4,0.8142857,392,1,0,0.98491704,0.36363637,0,0,34,4,1.3636364,0
2,2,0,2,6,1,1,2,2,2,65,0,0,0.875,0.625,0,0,31.5,5,2.5,0
12,1,0,3,25,0,2,1,0,0.43636364,212,1,0,0,0.39583334,0,0,16.25,3,1.3333334,0
2,2,0,3,8,0,1,3,1,0,35,1,1,0.8888889,0.6666667,0,0,16,2,1,0
2,6,0,2,8,1,1,2,1,1,58,1,1,0.99856734,0.5833333,1,1,27.5,6,3,0
2,2,0,4,3,1,1,3,1,2,6,0,0,0.9,0.75,0,0,2,1,0.5,0
3,1,0,2,6,1,1,2,1,0.5,19,1,1,0,0.8333333,0,0,5,1,0.6666667,0
3,1,0,2,7,1,1,2,1,0.5,27,1,1,0,0.6666667,0,0,7.3333335,1,0.6666667,0
2,6,0,5,17,0,1,5,1,0,89,0.33333334,1,0.99856734,0.5833333,1,1,42,4,2,0
4,1,1,4,11,6,2,2,4,0.6666667,36,1,1,0,0.5,0,0,7.75,2,1,0
2,1,0,1,6,0,1,1,1,0,33,1,1,0,0.75,0,0,15,2,1,0
2,1,0,15,17,0,4,13,0,0,81,0,0,0,0.7,0,0,38.5,3,1.5,0
19,5,0,33,76,119,26,16,11,0.9047619,618,0.85714287,3,0.9731744,0.20300752,3,18,30.789474,6,1.4210526,3
47,2,1,38,109,1019,16,25,26,0.94481605,2553,0.46153846,2,0.14893617,0.23007247,1,2,53.042553,11,1.7659575,0
4,1,0,11,5,0,11,0,4,0.6666667,28,1,0,0,0.5,0,0,5.25,1,0.75,1
17,2,0,11,72,98,1,11,8,0.8798077,1115,1,5,0.44827586,0.2647059,1,2,63.058823,35,6.2352943,3
