@relation log4j.1.1
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
19,2,1,9,43,85,2,7,13,0.7037037,285,0.6666667,1,0.5294118,0.19078948,1,3,13.842105,5,1.8947369,4
2,3,0,5,5,1,1,5,0,1,15,1,1,0.8333333,0.6,1,1,6,1,0.5,0
1,1,0,1,6,0,1,0,0,2,28,0,0,0,1,0,0,25,0,0,0
2,1,0,3,4,1,1,3,2,2,10,0,0,0,0.75,0,0,4,1,0.5,0
3,1,0,0,14,3,0,0,2,2,133,0,0,0,0.33333334,0,0,43.333332,4,1.6666666,0
5,1,0,0,14,4,0,0,2,0.25,80,0,0,0,0.25,0,0,14.8,2,1,0
9,1,0,5,19,10,3,2,7,0.375,120,0,1,0,0.4375,0,0,12.111111,4,1.6666666,0
6,3,0,2,15,0,1,1,5,0,66,1,0,0.91935486,0.375,0,0,9.833333,2,1,0
4,2,0,1,5,6,1,0,3,2,10,0,0,0.8125,0.5,1,1,1.5,1,0.75,0
2,1,0,2,16,1,0,2,2,2,100,0,0,0,0.75,0,0,49,3,1.5,0
27,2,0,10,80,239,0,10,22,0.9380342,565,0.055555556,2,0.41860464,0.24074075,2,3,19.25926,10,1.8518518,3
8,1,0,3,30,12,0,3,2,0.6666667,228,0,1,0,0.32142857,0,0,26.75,4,1.75,1
4,1,0,7,25,0,3,4,2,0.73333335,109,0,2,0,0.41666666,0,0,25,2,0.75,3
5,1,0,8,26,10,0,8,2,2,508,0,0,0,0.26666668,0,0,100.6,3,1.4,0
5,1,0,0,15,8,0,0,1,0.8333333,479,0,0,0,0.3125,0,0,94.2,7,2,0
8,1,0,7,42,14,0,7,2,0.75,308,0,2,0,0.23809524,0,0,37,4,1.5,0
5,1,0,1,17,0,0,1,2,0.5,163,0,1,0,0.25,0,0,30.8,3,1.4,0
8,1,0,15,41,8,4,14,2,0.95604396,693,0.46153846,3,0,0.375,0,0,82.375,21,6.25,0
5,1,0,1,7,8,1,0,3,0.75,22,1,1,0,0.75,0,0,3.2,1,0.6,0
4,1,0,7,27,4,0,7,2,0.6666667,134,0,0,0,0.33333334,0,0,32.25,3,1.5,0
6,1,0,3,9,9,1,2,6,0.8666667,44,0,0,0,0.45833334,0,0,5.8333335,2,1.1666666,0
10,1,0,3,17,0,2,1,9,0.5555556,243,0,1,0,0.46666667,0,0,22.8,5,2.1,0
2,1,0,2,4,1,1,1,1,2,8,0,0,0,0.75,0,0,3,1,0.5,0
11,1,0,31,14,15,31,0,9,0.7923077,174,0,5,0,0.35,0,0,13.636364,7,2,5
0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
16,3,1,8,40,0,1,7,13,0.6666667,306,0.6,0,0.75555557,0.32291666,1,13,17.8125,6,1.375,3
6,1,0,4,30,9,0,4,2,0.6666667,144,0,1,0,0.33333334,0,0,22.5,2,1,1
7,1,0,3,25,17,0,3,2,0.8333333,105,0,1,0,0.2777778,0,0,13.571428,2,1.1428572,0
13,1,0,4,40,8,0,4,2,0.6979167,516,0,4,0,0.15,0,0,38.076923,7,2.7692308,2
10,1,0,7,42,39,1,6,6,0.64444447,328,1,0,0,0.31428573,0,0,31.3,9,2.8,0
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
8,1,0,5,39,24,0,5,2,0.71428573,328,0,1,0,0.21428572,0,0,39.75,2,1.125,1
10,2,0,7,19,27,3,4,9,0.90123457,130,0.6666667,1,0.5,0.5,0,0,11.1,3,1.2,1
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,1
2,2,0,2,14,0,1,2,1,0,107,0.5,1,0.983871,0.75,1,1,51.5,2,1,0
8,1,0,6,48,6,0,6,2,0.6666667,356,0,3,0,0.25714287,0,0,42.375,3,1.75,1
3,1,0,7,3,3,7,0,3,2,3,0,0,0,0.6666667,0,0,0,1,1,1
10,1,0,34,19,0,34,1,9,0.9206349,146,0.71428573,0,0,0.33333334,0,0,12.9,4,1.9,0
2,1,0,3,22,1,1,2,2,2,128,0,0,0,0.75,0,0,63,5,2.5,0
2,2,0,5,7,0,1,4,1,0,36,1,0,0.75,0.625,1,1,16,1,0.5,0
2,1,0,14,2,1,13,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
2,1,0,4,4,1,2,2,1,2,10,0,0,0,0.75,0,0,4,1,0.5,0
7,1,0,4,29,17,0,4,2,0.6666667,154,0,1,0,0.33333334,0,0,20.714285,2,1,0
2,1,0,1,3,1,1,0,0,1,14,0,1,0,0.6666667,0,0,5,1,0.5,0
18,2,0,8,42,81,0,8,17,1,517,0.06451613,1,0.54545456,0.25925925,2,4,26,22,3.9444444,1
9,2,0,4,37,8,0,4,7,0.8229167,314,0,1,0.89705884,0.21875,0,0,32.555557,7,2,0
3,2,0,5,17,0,1,5,1,0.25,131,0,3,0.96825397,0.5555556,0,0,41.333332,6,2.6666667,0
5,1,0,0,16,0,0,0,2,0.20833333,268,0,0,0,0.33333334,0,0,51.4,4,2,0
12,1,0,12,41,0,10,2,9,0.6666667,275,0,0,0,0.09090909,0,0,21.666666,6,2.25,2
6,1,0,4,6,15,3,1,6,2,6,0,0,0,0.5555556,0,0,0,1,1,0
15,3,0,10,44,3,0,10,13,0.76785713,334,0.5,0,0.73333335,0.24166666,1,10,21,5,1.3333334,1
7,1,0,4,32,17,0,4,2,0.6666667,155,0,1,0,0.2777778,0,0,20.857143,2,1,0
3,2,0,4,6,3,2,3,3,2,25,0,0,0.9591837,0.8333333,1,5,7.3333335,2,1,0
10,1,4,26,13,45,24,2,9,1,28,0,0,0,0.4074074,0,0,1.6,1,0.8,0
10,2,0,2,37,23,0,2,7,0.8333333,301,0,1,0.884058,0.2,0,0,28.1,4,1.7,0
6,2,0,3,8,15,0,3,6,1,34,0,0,0.8181818,0.5,1,1,4.3333335,2,0.8333333,0
4,1,0,2,19,4,1,1,2,0.6666667,139,0,0,0,0.5555556,0,0,33.5,3,1.25,1
1,1,0,6,1,0,6,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,7,7,1,0,7,2,2,15,0,0,0,0.6666667,0,0,6.5,1,0.5,1
8,2,0,0,10,28,0,0,8,2,21,0,0,0.65,0.46875,1,2,1.625,1,0.875,0
14,1,1,17,36,91,6,11,10,1.0576923,161,0,0,0,0.13846155,0,0,10.214286,3,1,2
6,2,0,6,13,13,3,3,6,0.8,54,0,0,0.61538464,0.44444445,0,0,7.8333335,1,0.8333333,0
7,1,0,6,30,17,0,6,2,0.75,144,0,1,0,0.2777778,0,0,19.285715,2,0.85714287,0
8,1,0,6,22,0,3,3,8,0.14285715,176,1,0,0,0.40625,0,0,20.875,5,3.125,0
3,2,0,3,5,0,1,2,2,0,19,1,0,0.6,0.5833333,1,1,5,1,0.6666667,0
2,2,0,5,7,0,1,5,1,0.5,34,0.5,1,0.75,0.6,1,1,15,2,1,0
22,2,0,9,51,95,3,7,18,0.8888889,414,0.13333334,1,0.4864865,0.19886364,2,3,17.136364,6,1.5454545,1
4,3,0,0,13,0,0,0,2,0,161,0,0,0.9752066,0.5833333,0,0,39,3,1.25,0
14,2,0,9,33,53,1,9,11,0.8769231,188,0.4,1,0.7966102,0.44230768,1,3,12.071428,3,1.6428572,1
11,2,0,6,27,19,0,6,11,0.9111111,199,0.5555556,0,0.44444445,0.3030303,0,0,16.272728,7,2,1
1,4,0,2,3,0,1,1,0,2,7,0,0,1,1,0,0,6,0,0,0
2,1,0,4,4,1,1,3,1,2,10,0,0,0,0.75,0,0,4,1,0.5,0
7,1,0,6,22,11,0,6,3,0.6666667,107,0,1,0,0.375,0,0,13.857142,2,0.85714287,0
4,3,2,4,12,6,4,0,4,1.3333334,111,0,0,0.9512195,0.35714287,1,3,26,6,1.75,0
8,1,0,6,31,22,0,6,2,0.94285715,324,0,7,0,0.2857143,0,0,38.25,5,2,1
3,3,0,1,7,1,1,0,3,0.5,20,1,0,0.9512195,0.44444445,1,3,5.3333335,1,0.6666667,0
18,2,0,28,78,135,14,15,9,0.9362745,714,0.25,1,0.41379312,0.2777778,1,1,38,10,2.5,6
