@relation synapse.1.0
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
10,1,0,7,22,11,3,4,10,0.62222224,169,1,2,0,0.31666666,0,0,15.4,7,1.9,0
7,1,0,6,34,19,1,5,3,0.6666667,187,0.5,0,0,0.45833334,0,0,25.428572,10,2,0
9,2,0,6,10,22,3,3,9,0.7916667,47,0.6666667,1,0.33333334,0.2777778,0,0,3.8888888,1,0.8888889,0
9,1,0,11,58,28,1,10,4,0.75,465,0.6666667,1,0,0.25,0,0,50.333332,30,4.5555553,1
47,1,0,56,47,1081,51,9,47,2,47,0,0,0,0.13926499,0,0,0,1,1,0
4,1,0,8,4,6,6,2,4,2,4,0,0,0,0.6666667,0,0,0,1,1,0
2,1,0,2,3,1,2,0,1,1,12,0,0,0,1,0,0,4,0,0,0
5,1,0,13,5,10,11,3,5,2,5,0,0,0,0.45,0,0,0,1,1,1
8,1,11,25,35,20,11,14,4,0.6857143,183,0.8,0,0,0.33333334,0,0,21.25,5,1.75,0
1,1,0,14,1,0,11,3,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,14,14,1,7,10,2,2,91,0,0,0,0.5,0,0,44.5,7,3.5,0
32,1,0,29,76,172,13,17,29,0.8248848,561,0.71428573,1,0,0.22580644,0,0,16.3125,8,1.875,0
2,1,0,18,15,1,6,15,2,2,63,0,0,0,0.5,0,0,30.5,7,3.5,0
4,1,0,8,8,4,1,7,2,0.6666667,32,1,1,0,0.5,0,0,6.75,2,0.75,0
7,1,0,34,96,9,2,32,3,0.8333333,527,0.75,0,0,0.3611111,0,0,73.71429,20,4.285714,1
6,3,0,10,23,13,0,10,3,0.8666667,87,0.33333334,0,0.6923077,0.4,1,2,13,3,1.1666666,0
4,1,1,18,40,4,2,16,2,0.8333333,192,0.5,0,0,0.44444445,0,0,46.5,1,0.5,0
4,1,0,1,8,0,1,1,3,0.8333333,65,0.33333334,1,0,0.32142857,1,1,13.75,5,1.75,0
1,1,0,11,3,0,8,3,0,2,69,0,0,0,0,0,0,6,0,0,0
3,5,0,6,6,3,2,5,3,2,18,0,0,0.9896907,0.5,0,0,5,1,0.33333334,0
9,1,0,10,33,28,1,10,3,0.8333333,144,0.6666667,1,0,0.23214285,0,0,14.666667,3,1.2222222,0
8,2,0,2,9,2,1,2,6,0.52380955,52,1,1,0.73913044,0.375,0,0,5.125,1,0.75,0
3,4,0,88,6,3,88,0,3,1.5,17,1,0,1,0.7777778,0,0,4.3333335,0,0,0
8,1,0,4,8,28,4,0,8,2,8,0,0,0,1,0,0,0,1,1,0
