@relation xalan.2.4
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
1,5,0,3,2,0,2,1,1,2,10,1,1,1,1,0,0,8,0,0,0
7,1,0,7,18,0,3,6,5,0.5,155,0,1,0,0.45833334,0,0,20.857143,4,1.4285715,1
13,5,0,11,20,54,2,9,12,0.9,119,1,0,0.9261745,0.21875,2,5,7.3846154,2,0.9230769,0
18,6,1,57,94,31,9,49,11,0.8104575,1125,1,1,0.8534483,0.26190478,3,8,61,6,2.6111112,0
7,3,3,16,21,0,10,9,7,0.41666666,146,1,2,0.93421054,0.35714287,2,4,19.571428,3,1.1428572,0
2,4,0,12,10,1,0,12,2,2,26,0,0,0.9896907,0.6,2,4,12,1,0.5,0
2,4,0,5,7,1,0,5,2,2,17,0,0,0.97959185,0.75,1,6,7.5,1,0.5,0
3,3,0,6,9,1,1,6,3,0.5,71,1,1,0.88235295,0.6666667,2,4,22,4,2,0
4,2,0,3,9,0,0,3,4,0,66,0,1,0.96666664,0.5625,0,0,15.25,1,0.25,0
2,4,0,4,5,0,1,4,2,0,31,1,1,0.95,0.6666667,1,1,13.5,3,1.5,0
2,1,0,2,6,0,1,2,1,0,17,1,1,0,0.75,0,0,7,1,0.5,0
5,1,0,41,5,10,41,0,5,2,5,0,0,0,0.6,0,0,0,1,1,0
10,3,0,36,70,7,1,35,7,0.64444447,658,1,2,0.86153847,0.3,1,9,64.3,13,4,0
3,4,0,14,17,3,0,14,3,2,75,0,0,0.97959185,0.44444445,3,13,24,3,1.3333334,0
4,4,0,5,6,4,1,4,4,0.6666667,26,1,0,0.96428573,0.45,0,0,5.25,1,0.75,0
21,3,0,3,43,0,0,3,19,0.5,498,1,0,0.5,0.22023809,1,2,22.47619,3,1.0476191,0
1,5,3,7,2,0,6,1,0,2,4,0,0,1,1,0,0,3,0,0,0
7,3,0,15,36,0,0,15,6,0.8148148,242,0.44444445,2,0.93421054,0.2857143,2,8,32.285713,3,1.1428572,0
14,6,0,15,32,0,1,15,11,0.7307692,163,1,2,0.9142857,0.23469388,4,8,10.357142,3,1.2142857,0
7,4,0,18,28,15,4,14,6,0.5,166,1,0,0.97309417,0.31428573,4,7,22.571428,1,0.85714287,1
6,2,0,5,16,15,3,4,6,2,58,0,0,0.8636364,0.3888889,2,3,8.666667,1,0.5,0
3,3,0,1,4,3,0,1,3,2,10,0,0,0.989899,1,2,4,2.3333333,1,0.6666667,0
3,2,0,3,5,3,1,2,0,2,24,0,0,0.5,0.5555556,0,0,7,2,1.3333334,0
2,1,0,6,2,1,6,1,2,2,2,0,0,0,1,0,0,0,1,1,0
46,1,0,3,53,1009,2,1,45,0.96666664,245,0,0,0,0.19021739,0,0,4.195652,1,0.9782609,0
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0
2,5,0,6,7,1,0,6,2,2,36,0,0,0.98245615,0.75,1,6,17,1,0.5,0
3,3,0,6,7,3,1,5,3,2,42,0,0,0.95348835,0.8333333,1,6,13,1,0.6666667,0
4,4,0,19,17,0,0,19,4,0.6666667,84,1,2,0.969697,0.375,3,8,19.5,2,1,0
36,1,0,3,69,428,2,1,28,0.83492064,967,1,3,0,0.21587302,0,0,25.11111,2,0.8888889,0
4,3,0,6,15,6,1,5,4,2,39,0,0,0.9594595,0.5,2,12,8.75,1,0.75,0
2,4,0,12,10,1,0,12,2,2,31,0,0,0.9896907,0.6,2,5,14.5,1,0.5,0
14,3,0,33,79,89,1,32,7,1.0307692,805,0.3,0,0.82191783,0.20714286,2,5,55.785713,11,3.5714285,0
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
10,1,0,56,18,17,56,0,10,0.7777778,106,1,0,0,0.4,1,1,9.1,2,1,0
6,4,0,36,48,15,10,30,5,2,282,0,0,0.9382716,0.4,2,12,46,8,3.6666667,0
2,4,0,10,17,1,0,10,2,2,87,0,0,0.97959185,0.75,2,7,42.5,1,0.5,0
1,6,0,1,2,0,0,1,1,2,6,0,0,1,1,0,0,5,0,0,0
2,3,0,4,9,0,1,4,2,0,84,0.5,1,0.93333334,0.6666667,2,3,40,7,3.5,0
2,5,0,4,10,1,0,4,2,2,28,0,0,0.98214287,0.75,2,7,13,1,0.5,0
21,2,0,44,49,210,15,32,19,2,450,0,0,0.6226415,0.23809524,2,4,20.428572,7,1.4761904,1
3,1,0,4,5,0,1,4,2,0,23,1,1,0,0.5555556,0,0,6.3333335,1,0.6666667,0
8,2,0,9,39,10,1,9,7,0.71428573,180,1,1,0.91566265,0.26785713,1,1,21,8,1.75,0
3,4,0,1,4,1,0,1,2,0.5,499,0,0,0.97619045,1,0,0,165,1,0.33333334,0
10,1,0,5,33,0,1,4,8,0.4722222,182,1,2,0,0.4,0,0,16.8,2,0.9,0
0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,1,0,29,17,0,26,3,7,0,155,1,0,0,0.4642857,0,0,21,4,1.8571428,0
10,1,0,15,24,0,13,3,9,0.9707602,247,0.21052632,3,0,0.475,0,0,21.8,4,1.5,1
6,2,0,3,13,0,1,3,6,0.46666667,118,1,1,0.6666667,0.5,1,5,18.166666,5,1.8333334,0
3,1,0,1,7,0,1,1,3,0.5,56,1,1,0,0.5833333,0,0,17,3,1.6666666,0
5,2,0,3,13,0,1,3,5,0.5,91,1,1,0.71428573,0.53333336,1,4,16.6,4,1.8,0
3,3,0,10,12,3,1,9,3,2,50,0,0,0.95,0.5,1,6,15.666667,1,0.6666667,0
6,3,0,9,37,0,0,9,5,0.76,505,0.4,0,0.61538464,0.375,2,6,82.333336,8,2.3333333,2
3,4,0,25,24,0,0,25,3,0,191,1,4,0.97959185,0.44444445,3,13,61.333332,3,1.3333334,0
1,4,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,0
7,1,1,5,10,13,3,2,2,0.8611111,99,0.75,2,0,0.5714286,0,0,11.428572,1,0.85714287,0
21,1,0,4,41,0,3,2,21,0.59,357,1,0,0,0.26190478,0,0,15.761905,4,1.6190476,0
